SLNO,Candidate Ref,Offer Date,DOJ Extended,Duration to accept offer,Notice period,Offered band,Current CTC,Expected CTC,Offered CTC,Negotiated CTC,Final CTC,Pecent hike expected in CTC,Percent hike offered in CTC,Percent difference CTC,Joining Bonus,Candidate relocate actual,Gender,Candidate Source,Rex in Yrs,LOB,Primary Skill,Previous Company Type,Location,Age,Status
1,2110001,2024-06-12,Yes,1,90,E1,11.59,18.42,16.98,,16.98,58.93,46.51,-7.82,Yes,No,Male,Agency,5.6,Data,Power BI,Startup,Chennai,30,Declined
2,2110002,2024-07-15,No,17,90,E2,6.22,8.02,8.59,,8.59,28.94,38.1,7.11,Yes,Yes,Male,Agency,3.1,Digital,React,Service,Kochi,27,Accepted
3,2110003,2025-12-05,No,10,60,E3,15.5,17.58,20.07,,20.07,13.42,29.48,14.16,No,Yes,Male,Campus,5.7,Cloud,DevOps,Service,Bangalore,30,Joined
4,2110004,2025-08-21,No,16,90,E2,8.07,10.32,9.82,,9.82,27.88,21.69,-4.84,No,No,Female,Employee Referral,6.6,ERS,Autosar,Service,Kochi,28,Joined
5,2110005,2024-09-30,No,6,45,E1,9.1,13.18,13.8,,13.8,44.84,51.65,4.7,No,No,Female,Agency,2.4,Cybersecurity,IAM,Service,Chennai,28,Declined
6,2110006,2025-06-27,No,7,90,E1,5.67,8.95,8.27,,8.27,57.85,45.86,-7.6,No,No,Female,Direct,1.5,Data,ML,Captive,Chennai,26,Declined
7,2110007,2025-09-13,No,15,30,M1,28.44,43.19,42.61,,42.61,51.86,49.82,-1.34,No,Yes,Female,Direct,9.5,QA,Manual Testing,Captive,Bangalore,33,Joined
8,2110008,2024-12-04,Yes,12,30,E3,16.65,26.75,23.09,,23.09,60.66,38.68,-13.68,Yes,Yes,Male,Naukri,5.4,Cloud,DevOps,Service,Pune,29,Joined
9,2110009,2024-04-21,No,12,75,E2,13.73,20.45,16.62,,16.62,48.94,21.05,-18.73,No,No,Male,Direct,8.0,QA,Selenium,Product,Noida,33,No Show
10,2110010,2024-06-17,No,13,90,E2,12.72,17.17,16.7,18.29,18.29,34.98,31.29,-2.74,No,Yes,Female,LinkedIn,7.8,QA,Selenium,Captive,Pune,32,No Show
11,2110011,2024-07-09,No,14,75,E1,8.49,11.32,9.03,9.74,9.74,33.33,6.36,-20.23,No,Yes,Male,Direct,0.8,Data,ML,Consulting,Hyderabad,29,No Show
12,2110012,2024-03-15,No,17,30,M2,58.8,56.67,77.42,84.51,84.51,-3.62,31.67,36.62,No,Yes,Female,LinkedIn,12.4,Cloud,Kubernetes,Product,Bangalore,38,Joined
13,2110013,2024-05-17,No,10,45,E3,18.19,20.69,18.72,,18.72,13.74,2.91,-9.52,Yes,No,Male,Employee Referral,10.2,INFRA,Linux Admin,Consulting,Noida,35,Joined
14,2110014,2024-06-14,No,12,60,M1,36.45,52.08,47.09,,47.09,42.88,29.19,-9.58,No,No,Male,Naukri,10.2,Digital,Node.js,Service,Hyderabad,34,Joined
15,2110015,2025-02-20,No,8,60,E1,14.98,22.33,23.81,,23.81,49.07,58.95,6.63,Yes,No,Male,Direct,5.8,SAP,SAP ABAP,Consulting,Bangalore,28,Declined
16,2110016,2025-04-16,Yes,9,60,E3,15.14,18.75,16.53,17.12,17.12,23.84,9.18,-11.84,No,No,Male,Direct,7.4,Cloud,Azure,Service,Kochi,35,Joined
17,2110017,2024-12-19,No,15,60,E1,7.59,8.1,10.11,,10.11,6.72,33.2,24.81,No,Yes,Female,Employee Referral,2.7,Cloud,Azure,Service,Bangalore,30,Joined
18,2110018,2025-06-03,No,4,90,E2,6.91,9.47,8.39,9.35,9.35,37.05,21.42,-11.4,No,No,Male,Agency,5.9,INFRA,Windows Server,Service,Noida,30,Declined
19,2110019,2024-06-22,No,4,45,E1,10.05,13.85,12.87,,12.87,37.81,28.06,-7.08,No,No,Male,LinkedIn,4.9,SAP,SAP FICO,Consulting,Noida,31,Declined
20,2110020,2025-11-02,No,10,45,M1,17.25,17.83,24.12,25.6,25.6,3.36,39.83,35.28,No,Yes,Male,Employee Referral,6.7,Cybersecurity,SOC,Service,Kochi,30,Joined
21,2110021,2025-04-01,No,12,45,E2,9.81,15.0,11.86,12.99,12.99,52.91,20.9,-20.93,Yes,No,Female,Direct,3.6,INFRA,Windows Server,Product,Chennai,24,Declined
22,2110022,2024-03-06,No,14,75,E2,6.07,9.17,8.39,8.83,8.83,51.07,38.22,-8.51,No,No,Male,Campus,4.0,QA,Performance Testing,Service,Hyderabad,31,Joined
23,2110023,2024-08-13,No,7,30,E2,8.44,11.76,9.79,,9.79,39.34,16.0,-16.75,No,No,Male,LinkedIn,3.7,QA,Performance Testing,Consulting,Bangalore,29,Declined
24,2110024,2024-09-23,Yes,12,75,E1,4.96,4.94,6.18,,6.18,-0.4,24.6,25.1,No,No,Female,Naukri,2.2,QA,Manual Testing,Service,Pune,25,Accepted
25,2110025,2024-09-01,No,12,30,E3,21.2,32.28,28.83,,28.83,52.26,35.99,-10.69,No,No,Male,Employee Referral,4.5,Cybersecurity,Penetration Testing,Consulting,Kochi,30,Joined
26,2110026,2025-08-29,Yes,7,30,M1,50.31,64.97,82.26,,82.26,29.14,63.51,26.61,Yes,No,Male,Employee Referral,11.7,Cloud,Kubernetes,Product,Mumbai,38,Accepted
27,2110027,2025-03-21,No,6,30,E2,6.52,10.01,7.51,,7.51,53.53,15.18,-24.98,No,No,Male,Naukri,4.5,INFRA,VMware,Captive,Kochi,26,Accepted
28,2110028,2024-09-21,No,12,30,E1,8.13,11.23,9.04,,9.04,38.13,11.19,-19.5,No,Yes,Male,Naukri,1.8,Data,ML,Service,Pune,27,Declined
29,2110029,2025-07-17,No,7,45,E2,6.18,8.64,8.74,,8.74,39.81,41.42,1.16,No,No,Male,Agency,2.7,Data,SQL,Startup,Noida,31,Joined
30,2110030,2024-11-05,No,1,45,E2,17.47,23.41,26.74,,26.74,34.0,53.06,14.22,No,Yes,Male,Naukri,6.6,Data,Data Engineering,Service,Hyderabad,30,Declined
31,2110031,2024-06-04,No,8,75,E3,21.96,34.71,24.95,27.6,27.6,58.06,13.62,-28.12,Yes,Yes,Male,Naukri,9.7,Data,SQL,Service,Bangalore,34,Joined
